,gx,gy,gz
700,32323455,5723277,94.0
701,32323454,5723273,93.0
702,32323452,5723270,89.0
703,32323450,5723269,84.0
704,32323449,5723266,84.0
705,32323447,5723262,82.0
706,32323445,5723259,83.0
707,32323445,5723256,85.0
708,32323444,5723254,87.0
709,32323441,5723251,88.0
710,32323440,5723249,89.0
711,32323439,5723245,90.0
712,32323438,5723244,86.0
713,32323438,5723243,88.0
714,32323437,5723240,86.0
715,32323436,5723238,83.0
716,32323433,5723234,84.0
717,32323430,5723232,84.0
718,32323428,5723231,85.0
719,32323426,5723230,86.0
720,32323422,5723226,90.0
721,32323419,5723222,91.0
722,32323418,5723218,91.0
723,32323416,5723213,90.0
724,32323413,5723209,92.0
725,32323408,5723207,89.0
726,32323404,5723207,91.0
727,32323399,5723205,90.0
728,32323395,5723206,90.0
729,32323391,5723204,87.0
730,32323390,5723201,83.0
731,32323389,5723198,82.0
732,32323389,5723194,84.0
733,32323389,5723192,84.0
734,32323389,5723189,85.0
735,32323391,5723186,83.0
736,32323393,5723182,84.0
737,32323395,5723180,84.0
738,32323396,5723178,82.0
739,32323397,5723176,80.0
740,32323400,5723174,78.0
741,32323404,5723171,71.0
742,32323407,5723168,68.0
743,32323410,5723165,67.0
744,32323411,5723163,67.0
745,32323411,5723161,64.0
746,32323413,5723158,61.0
747,32323414,5723156,60.0
748,32323414,5723152,63.0
749,32323415,5723146,66.0
750,32323417,5723141,67.0
751,32323419,5723136,71.0
752,32323420,5723132,72.0
753,32323422,5723129,74.0
754,32323423,5723126,75.0
755,32323425,5723124,78.0
756,32323427,5723125,75.0
757,32323430,5723125,74.0
758,32323435,5723122,75.0
759,32323440,5723119,78.0
760,32323443,5723117,78.0
761,32323446,5723116,77.0
762,32323448,5723115,76.0
763,32323453,5723113,77.0
764,32323455,5723110,77.0
765,32323458,5723108,75.0
766,32323462,5723105,75.0
767,32323466,5723101,75.0
768,32323469,5723099,73.0
769,32323471,5723098,71.0
770,32323476,5723093,75.0
771,32323477,5723090,76.0
772,32323478,5723088,77.0
773,32323480,5723088,75.0
774,32323483,5723084,75.0
775,32323485,5723082,74.0
776,32323488,5723079,72.0
777,32323491,5723078,72.0
778,32323493,5723077,72.0
779,32323495,5723077,71.0
780,32323500,5723073,74.0
781,32323504,5723071,73.0
782,32323510,5723068,74.0
783,32323514,5723066,75.0
784,32323519,5723064,76.0
785,32323523,5723062,76.0
786,32323525,5723060,78.0
787,32323528,5723060,77.0
788,32323527,5723060,75.0
789,32323525,5723061,75.0
790,32323522,5723063,71.0
791,32323519,5723067,65.0
792,32323518,5723071,64.0
793,32323518,5723075,67.0
794,32323515,5723078,68.0
795,32323513,5723082,66.0
796,32323511,5723087,65.0
797,32323511,5723091,65.0
798,32323511,5723095,60.0
799,32323510,5723099,61.0
800,32323509,5723103,60.0
801,32323508,5723106,60.0
802,32323506,5723109,62.0
803,32323502,5723114,68.0
804,32323499,5723118,71.0
805,32323496,5723120,69.0
806,32323494,5723121,68.0
807,32323491,5723122,75.0
808,32323488,5723124,77.0
809,32323485,5723127,78.0
810,32323483,5723131,77.0
811,32323480,5723134,78.0
812,32323479,5723136,78.0
813,32323478,5723138,77.0
814,32323476,5723140,76.0
815,32323474,5723144,73.0
816,32323473,5723148,73.0
817,32323471,5723153,72.0
818,32323468,5723156,72.0
819,32323468,5723156,71.0
820,32323466,5723159,72.0
821,32323465,5723162,72.0
822,32323465,5723166,72.0
823,32323462,5723171,76.0
824,32323459,5723176,81.0
825,32323457,5723181,83.0
826,32323456,5723186,85.0
827,32323455,5723187,82.0
828,32323455,5723189,81.0
829,32323454,5723192,84.0
830,32323455,5723194,86.0
831,32323456,5723198,84.0
832,32323457,5723202,83.0
833,32323458,5723206,84.0
834,32323458,5723210,85.0
835,32323457,5723216,85.0
836,32323458,5723217,83.0
837,32323458,5723218,87.0
838,32323458,5723219,90.0
839,32323459,5723220,91.0
840,32323459,5723221,91.0
841,32323459,5723222,91.0
842,32323459,5723222,91.0
843,32323459,5723222,91.0
844,32323459,5723222,91.0
845,32323458,5723222,89.0
846,32323455,5723222,85.0
847,32323454,5723225,86.0
848,32323452,5723228,87.0
849,32323452,5723230,87.0
850,32323452,5723232,88.0
851,32323451,5723237,91.0
852,32323451,5723240,91.0
853,32323451,5723242,90.0
854,32323452,5723243,91.0
855,32323451,5723244,92.0
856,32323452,5723246,87.0
857,32323453,5723249,90.0
858,32323454,5723250,88.0
859,32323455,5723254,83.0
860,32323454,5723258,82.0
861,32323454,5723260,84.0
862,32323454,5723261,82.0
863,32323454,5723265,79.0
864,32323453,5723269,77.0
865,32323451,5723275,75.0
866,32323450,5723279,76.0
867,32323449,5723281,78.0
868,32323449,5723283,79.0
869,32323449,5723284,79.0
870,32323449,5723285,79.0
871,32323449,5723286,84.0
872,32323450,5723288,82.0
873,32323452,5723290,83.0
874,32323452,5723291,85.0
875,32323454,5723298,79.0
876,32323456,5723300,78.0
877,32323460,5723302,78.0
878,32323462,5723308,78.0
879,32323462,5723309,78.0
880,32323463,5723309,79.0
881,32323464,5723312,78.0
882,32323463,5723317,83.0
